address_id,customer_id,address_type,country,emirate,city,area,street_address,building_name,flat_or_villa_no,po_box,postal_code,address_status
ADDR000001,CUST00001,UAE Residence,United Arab Emirates,Umm Al Quwain,Umm Al Quwain,Falaj Al Mualla,89 Falaj Al Mualla Street,Building 139,1761,75374,,Active
ADDR000002,CUST00001,Home Country,Philippines,,Capital City,Market Area,"House 196, Street 1",,,,993199,Active
ADDR000003,CUST00002,UAE Residence,United Arab Emirates,Abu Dhabi,Abu Dhabi,Al Reem Island,78 Al Reem Island Street,Building 74,1882,88563,,Active
ADDR000004,CUST00003,UAE Residence,United Arab Emirates,Sharjah,Sharjah,Al Nahda,72 Al Nahda Street,Building 95,1818,46691,,Active
ADDR000005,CUST00003,Home Country,India,,Capital City,Main Area,"House 444, Street 13",,,,252642,Active
ADDR000006,CUST00004,UAE Residence,United Arab Emirates,Abu Dhabi,Abu Dhabi,Madinat Zayed,48 Madinat Zayed Street,Building 196,484,83914,,Active
ADDR000007,CUST00004,Home Country,Pakistan,,Metro City,Residential Zone,"House 26, Street 42",,,,100958,Active
ADDR000008,CUST00005,UAE Residence,United Arab Emirates,Dubai,Dubai,Deira,43 Deira Street,Building 75,1704,24381,,Active
ADDR000009,CUST00005,Home Country,United Kingdom,,Old Town,Residential Zone,"House 403, Street 34",,,,850146,Active
ADDR000010,CUST00006,UAE Residence,United Arab Emirates,Fujairah,Fujairah,Fujairah City,70 Fujairah City Street,Building 13,988,78671,,Active
ADDR000011,CUST00006,Home Country,Egypt,,Capital City,Residential Zone,"House 131, Street 41",,,,171447,Active
ADDR000012,CUST00007,UAE Residence,United Arab Emirates,Dubai,Dubai,Business Bay,8 Business Bay Street,Building 70,1092,18372,,Active
ADDR000013,CUST00008,UAE Residence,United Arab Emirates,Abu Dhabi,Abu Dhabi,Corniche,50 Corniche Street,Building 131,1493,19941,,Active
ADDR000014,CUST00008,Home Country,Nepal,,Metro City,Residential Zone,"House 98, Street 34",,,,765117,Active
ADDR000015,CUST00009,UAE Residence,United Arab Emirates,Fujairah,Fujairah,Fujairah City,36 Fujairah City Street,Building 132,990,72562,,Active
ADDR000016,CUST00009,Home Country,Philippines,,Central District,Town Center,"House 164, Street 23",,,,630250,Active
ADDR000017,CUST00010,UAE Residence,United Arab Emirates,Dubai,Dubai,Bur Dubai,6 Bur Dubai Street,Building 160,150,23514,,Active
