document_id,customer_id,document_type,document_number,issue_date,expiry_date,issued_country,residency_status,document_status,verification_status
DOC000001,CUST00001,Emirates ID,784-1906-6105140-2,2020-06-25,2022-02-06,United Arab Emirates,UAE Resident,Expired,Verified
DOC000002,CUST00001,Passport,P7367900,2023-09-18,2033-09-15,Philippines,UAE Resident,Valid,Verified
DOC000003,CUST00002,Emirates ID,784-1974-8729158-2,2021-11-28,2023-09-06,United Arab Emirates,UAE Citizen,Expired,Verified
DOC000004,CUST00002,Passport,P3483052,2025-08-31,2035-08-29,United Arab Emirates,UAE Citizen,Valid,Verified
DOC000005,CUST00003,Emirates ID,784-1957-3053083-9,2024-08-19,2029-03-15,United Arab Emirates,UAE Resident,Valid,Verified
DOC000006,CUST00003,Passport,P9018281,2022-06-25,2032-06-22,India,UAE Resident,Valid,Verified
DOC000007,CUST00004,Emirates ID,784-1998-9098468-4,2023-02-23,2025-12-13,United Arab Emirates,UAE Resident,Expired,Verified
DOC000008,CUST00004,Passport,P5969984,2024-08-04,2034-08-02,Pakistan,UAE Resident,Valid,Verified
DOC000009,CUST00005,Emirates ID,784-2006-5066398-4,2023-12-16,2028-02-01,United Arab Emirates,UAE Resident,Valid,Verified
DOC000010,CUST00005,Passport,P9298107,2016-11-03,2026-11-01,United Kingdom,UAE Resident,Valid,Verified
DOC000011,CUST00006,Emirates ID,784-1927-8854260-7,2020-02-23,2024-11-26,United Arab Emirates,UAE Resident,Expired,Verified
DOC000012,CUST00006,Passport,P6711805,2017-03-04,2027-03-02,Egypt,UAE Resident,Valid,Verified
DOC000013,CUST00007,Emirates ID,784-2009-6257292-5,2025-12-01,2029-10-18,United Arab Emirates,UAE Citizen,Valid,Verified
DOC000014,CUST00007,Passport,P3583673,2023-05-08,2033-05-05,United Arab Emirates,UAE Citizen,Valid,Verified
DOC000015,CUST00008,Emirates ID,784-1928-7100930-7,2021-03-08,2022-11-29,United Arab Emirates,UAE Resident,Expired,Pending
DOC000016,CUST00008,Passport,P9614497,2025-09-24,2035-09-22,Nepal,UAE Resident,Valid,Verified
DOC000017,CUST00009,Emirates ID,784-1908-5661355-7,2024-06-27,2026-07-16,United Arab Emirates,UAE Resident,Valid,Verified
